AIS;Município;Dia da Semana;Data;Hora
AIS 19;Fortaleza;Sexta;2021-01-01;22:50:00
AIS 08;Fortaleza;Sexta;2021-01-01;22:30:00
AIS 08;Fortaleza;Sexta;2021-01-01;22:00:00
AIS 21;Fortaleza;Sexta;2021-01-01;21:30:00
AIS 02;Crato;Sexta;2021-01-01;21:00:00
AIS 19;Fortaleza;Sexta;2021-01-01;20:45:00
AIS 19;Fortaleza;Sexta;2021-01-01;20:30:00
AIS 22;Fortaleza;Sexta;2021-01-01;20:30:00
AIS 16;Fortaleza;Sexta;2021-01-01;20:10:00
AIS 16;Fortaleza;Sexta;2021-01-01;20:10:00
AIS 19;Fortaleza;Sexta;2021-01-01;19:40:00
AIS 17;Fortaleza;Sexta;2021-01-01;19:30:00
AIS 21;Fortaleza;Sexta;2021-01-01;19:30:00
AIS 01;Russas;Sexta;2021-01-01;19:30:00
AIS 21;Fortaleza;Sexta;2021-01-01;19:00:00
AIS 14;Maracanaú;Sexta;2021-01-01;19:00:00
AIS 02;Juazeiro do Norte;Sexta;2021-01-01;19:00:00
AIS 06;Fortaleza;Sexta;2021-01-01;18:50:00
AIS 21;Fortaleza;Sexta;2021-01-01;18:45:00
AIS Não Identificada (Caucaia);Caucaia;Sexta;2021-01-01;18:30:00
AIS 09;Solonópole;Sexta;2021-01-01;18:30:00
AIS 21;Fortaleza;Sexta;2021-01-01;18:00:00
AIS 17;Fortaleza;Sexta;2021-01-01;17:40:00
AIS 08;Fortaleza;Sexta;2021-01-01;17:30:00
AIS 21;Fortaleza;Sexta;2021-01-01;17:30:00
AIS 03;Sobral;Sexta;2021-01-01;17:30:00
AIS 16;Fortaleza;Sexta;2021-01-01;17:00:00
AIS 05;Fortaleza;Sexta;2021-01-01;17:00:00
AIS 19;Fortaleza;Sexta;2021-01-01;16:35:00
AIS 08;Fortaleza;Sexta;2021-01-01;16:30:00
AIS 21;Fortaleza;Sexta;2021-01-01;16:00:00
AIS 17;Fortaleza;Sexta;2021-01-01;15:10:00
AIS 12;Caucaia;Sexta;2021-01-01;15:00:00
AIS 17;Fortaleza;Sexta;2021-01-01;15:00:00
AIS 06;Fortaleza;Sexta;2021-01-01;15:00:00
AIS 25;Pacajus;Sexta;2021-01-01;15:00:00
AIS 06;Fortaleza;Sexta;2021-01-01;14:00:00
AIS 19;Fortaleza;Sexta;2021-01-01;11:15:00
AIS 25;Pacajus;Sexta;2021-01-01;10:30:00
AIS 15;Eusébio;Sexta;2021-01-01;10:05:00
AIS 26;Caucaia;Sexta;2021-01-01;09:20:00
AIS 19;Fortaleza;Sexta;2021-01-01;09:00:00
AIS 29;Baturité;Sexta;2021-01-01;09:00:00
AIS 17;Fortaleza;Sexta;2021-01-01;08:30:00
AIS 06;Fortaleza;Sexta;2021-01-01;08:30:00
AIS 17;Fortaleza;Sexta;2021-01-01;06:50:00
AIS 17;Fortaleza;Sexta;2021-01-01;06:30:00
AIS 17;Fortaleza;Sexta;2021-01-01;06:17:00
AIS 25;Pacajus;Sexta;2021-01-01;06:00:00
AIS 08;Fortaleza;Sexta;2021-01-01;05:30:00
AIS 14;Maracanaú;Sexta;2021-01-01;05:30:00
AIS 21;Fortaleza;Sexta;2021-01-01;05:10:00
AIS 23;Paraipaba;Sexta;2021-01-01;05:03:00
AIS 17;Fortaleza;Sexta;2021-01-01;05:00:00
AIS 06;Fortaleza;Sexta;2021-01-01;05:00:00
AIS 21;Fortaleza;Sexta;2021-01-01;04:12:00
AIS 19;Fortaleza;Sexta;2021-01-01;04:00:00
AIS 17;Fortaleza;Sexta;2021-01-01;04:00:00
AIS 19;Fortaleza;Sexta;2021-01-01;03:40:00
AIS 03;Sobral;Sexta;2021-01-01;03:30:00
AIS 18;Fortaleza;Sexta;2021-01-01;03:00:00
AIS 17;Fortaleza;Sexta;2021-01-01;03:00:00
AIS 20;Fortaleza;Sexta;2021-01-01;03:00:00
AIS 18;Fortaleza;Sexta;2021-01-01;02:30:00
AIS Não Identificada (Fortaleza);Fortaleza;Sexta;2021-01-01;02:00:00
AIS 21;Fortaleza;Sexta;2021-01-01;02:00:00
AIS 20;Fortaleza;Sexta;2021-01-01;01:40:00
AIS 19;Fortaleza;Sexta;2021-01-01;01:00:00
AIS 02;Juazeiro do Norte;Sexta;2021-01-01;01:00:00
AIS 08;Fortaleza;Sexta;2021-01-01;00:55:00
AIS 19;Fortaleza;Sexta;2021-01-01;00:44:00
AIS 18;Fortaleza;Sexta;2021-01-01;00:30:00
AIS 22;Fortaleza;Sexta;2021-01-01;00:30:00
AIS 09;Quixeramobim;Sexta;2021-01-01;00:21:00
AIS 16;Fortaleza;Sexta;2021-01-01;00:20:00
AIS 02;Juazeiro do Norte;Sexta;2021-01-01;00:10:00
AIS 23;Trairi;Sábado;2021-01-02;23:40:00
AIS 12;Caucaia;Sábado;2021-01-02;23:30:00
AIS 19;Fortaleza;Sábado;2021-01-02;23:30:00
AIS 14;Maracanaú;Sábado;2021-01-02;23:30:00
AIS 12;Caucaia;Sábado;2021-01-02;23:15:00
AIS Não Identificada (Fortaleza);Fortaleza;Sábado;2021-01-02;23:10:00
AIS 19;Fortaleza;Sábado;2021-01-02;23:00:00
AIS 10;Iguatu;Sábado;2021-01-02;22:30:00
AIS 22;Fortaleza;Sábado;2021-01-02;22:25:00
AIS 10;Iguatu;Sábado;2021-01-02;22:20:00
AIS 03;Sobral;Sábado;2021-01-02;22:15:00
AIS 21;Fortaleza;Sábado;2021-01-02;22:05:00
AIS 16;Fortaleza;Sábado;2021-01-02;22:00:00
AIS 08;Fortaleza;Sábado;2021-01-02;22:00:00
AIS 21;Fortaleza;Sábado;2021-01-02;22:00:00
AIS 06;Fortaleza;Sábado;2021-01-02;22:00:00
AIS 10;Iguatu;Sábado;2021-01-02;22:00:00
AIS 11;Irauçuba;Sábado;2021-01-02;22:00:00
AIS 26;Caucaia;Sábado;2021-01-02;21:30:00
AIS 20;Fortaleza;Sábado;2021-01-02;21:30:00
AIS 23;Paraipaba;Sábado;2021-01-02;21:10:00
AIS 20;Fortaleza;Sábado;2021-01-02;21:00:00
AIS 05;Fortaleza;Sábado;2021-01-02;21:00:00
AIS 06;Fortaleza;Sábado;2021-01-02;21:00:00
AIS 24;Maranguape;Sábado;2021-01-02;20:50:00
AIS 18;Fortaleza;Sábado;2021-01-02;20:48:00
AIS 20;Fortaleza;Sábado;2021-01-02;20:45:00
AIS 18;Fortaleza;Sábado;2021-01-02;20:40:00
AIS 15;Aquiraz;Sábado;2021-01-02;20:30:00
AIS 15;Aquiraz;Sábado;2021-01-02;20:30:00
AIS Não Identificada (Fortaleza);Fortaleza;Sábado;2021-01-02;20:30:00
AIS 06;Fortaleza;Sábado;2021-01-02;20:30:00
AIS 17;Fortaleza;Sábado;2021-01-02;20:30:00
AIS 20;Fortaleza;Sábado;2021-01-02;20:00:00
AIS 25;Itaitinga;Sábado;2021-01-02;20:00:00
AIS 25;Itaitinga;Sábado;2021-01-02;20:00:00
AIS 20;Fortaleza;Sábado;2021-01-02;19:40:00
AIS 05;Fortaleza;Sábado;2021-01-02;19:30:00
AIS 20;Fortaleza;Sábado;2021-01-02;19:30:00
AIS 06;Fortaleza;Sábado;2021-01-02;19:30:00
AIS 17;Fortaleza;Sábado;2021-01-02;19:30:00
AIS 06;Fortaleza;Sábado;2021-01-02;19:30:00
AIS 18;Fortaleza;Sábado;2021-01-02;19:20:00
AIS 18;Fortaleza;Sábado;2021-01-02;19:00:00
AIS 18;Fortaleza;Sábado;2021-01-02;19:00:00
AIS 18;Fortaleza;Sábado;2021-01-02;19:00:00
AIS 02;Juazeiro do Norte;Sábado;2021-01-02;19:00:00
AIS 08;Fortaleza;Sábado;2021-01-02;18:00:00
AIS 18;Fortaleza;Sábado;2021-01-02;17:00:00
AIS 11;Acaraú;Sábado;2021-01-02;17:00:00
AIS 01;Limoeiro do Norte;Sábado;2021-01-02;16:30:00
AIS 06;Fortaleza;Sábado;2021-01-02;16:00:00
AIS 02;Crato;Sábado;2021-01-02;15:30:00
AIS 06;Fortaleza;Sábado;2021-01-02;15:20:00
AIS 21;Fortaleza;Sábado;2021-01-02;15:17:00
AIS 17;Fortaleza;Sábado;2021-01-02;15:00:00
AIS 21;Fortaleza;Sábado;2021-01-02;15:00:00
AIS 19;Fortaleza;Sábado;2021-01-02;14:30:00
AIS 16;Fortaleza;Sábado;2021-01-02;14:30:00
AIS 08;Fortaleza;Sábado;2021-01-02;14:30:00
AIS 14;Maracanaú;Sábado;2021-01-02;13:59:00
AIS 11;Pentecoste;Sábado;2021-01-02;13:20:00
AIS 16;Fortaleza;Sábado;2021-01-02;13:00:00
AIS 18;Fortaleza;Sábado;2021-01-02;12:30:00
AIS 08;Fortaleza;Sábado;2021-01-02;12:30:00
AIS 16;Fortaleza;Sábado;2021-01-02;12:30:00
AIS 08;Fortaleza;Sábado;2021-01-02;12:30:00
AIS 08;Fortaleza;Sábado;2021-01-02;12:30:00
AIS 26;Caucaia;Sábado;2021-01-02;12:20:00
AIS 08;Fortaleza;Sábado;2021-01-02;12:00:00
AIS 05;Fortaleza;Sábado;2021-01-02;11:40:00
AIS 19;Fortaleza;Sábado;2021-01-02;11:30:00
AIS 02;Crato;Sábado;2021-01-02;11:30:00
AIS 17;Fortaleza;Sábado;2021-01-02;11:10:00
AIS 21;Fortaleza;Sábado;2021-01-02;10:40:00
AIS 01;Tabuleiro do Norte;Sábado;2021-01-02;10:40:00
AIS 01;Tabuleiro do Norte;Sábado;2021-01-02;10:40:00
AIS 01;Tabuleiro do Norte;Sábado;2021-01-02;10:40:00
AIS 17;Fortaleza;Sábado;2021-01-02;10:30:00
AIS 18;Fortaleza;Sábado;2021-01-02;10:14:00
AIS 26;Caucaia;Sábado;2021-01-02;10:00:27
AIS 15;Cascavel;Sábado;2021-01-02;10:00:00
AIS Não Identificada (Fortaleza);Fortaleza;Sábado;2021-01-02;10:00:00
AIS 01;Limoeiro do Norte;Sábado;2021-01-02;10:00:00
AIS 19;Fortaleza;Sábado;2021-01-02;09:30:00
AIS 06;Fortaleza;Sábado;2021-01-02;09:00:00
AIS 22;Fortaleza;Sábado;2021-01-02;09:00:00
AIS 02;Juazeiro do Norte;Sábado;2021-01-02;09:00:00
AIS 19;Fortaleza;Sábado;2021-01-02;08:30:00
AIS 05;Fortaleza;Sábado;2021-01-02;07:50:00
AIS 14;Maracanaú;Sábado;2021-01-02;07:00:00
AIS 23;Paracuru;Sábado;2021-01-02;07:00:00
AIS 19;Fortaleza;Sábado;2021-01-02;06:45:00
AIS 17;Fortaleza;Sábado;2021-01-02;06:00:00
AIS 17;Fortaleza;Sábado;2021-01-02;05:40:00
AIS 19;Fortaleza;Sábado;2021-01-02;05:40:00
AIS 18;Fortaleza;Sábado;2021-01-02;05:30:00
AIS 03;Sobral;Sábado;2021-01-02;05:20:00
AIS 18;Fortaleza;Sábado;2021-01-02;05:00:00
AIS 05;Fortaleza;Sábado;2021-01-02;05:00:00
AIS 21;Fortaleza;Sábado;2021-01-02;00:20:00
AIS 17;Fortaleza;Domingo;2021-01-03;23:40:00
AIS 08;Fortaleza;Domingo;2021-01-03;23:30:00
AIS 30;Beberibe;Domingo;2021-01-03;23:00:00
AIS 16;Fortaleza;Domingo;2021-01-03;22:50:00
AIS 09;Quixadá;Domingo;2021-01-03;22:30:00
AIS 29;Ocara;Domingo;2021-01-03;22:20:00
AIS 06;Fortaleza;Domingo;2021-01-03;22:00:00
AIS 20;Fortaleza;Domingo;2021-01-03;21:00:00
AIS 06;Fortaleza;Domingo;2021-01-03;21:00:00
AIS 06;Fortaleza;Domingo;2021-01-03;21:00:00
AIS 21;Fortaleza;Domingo;2021-01-03;21:00:00
AIS 29;Mulungu;Domingo;2021-01-03;21:00:00
AIS 06;Fortaleza;Domingo;2021-01-03;20:40:00
AIS 19;Fortaleza;Domingo;2021-01-03;20:30:00
AIS 17;Fortaleza;Domingo;2021-01-03;20:30:00
AIS 22;Fortaleza;Domingo;2021-01-03;20:30:00
AIS 02;Juazeiro do Norte;Domingo;2021-01-03;20:30:00
AIS 14;Maracanaú;Domingo;2021-01-03;20:10:00
AIS 12;Caucaia;Domingo;2021-01-03;20:00:00
AIS 08;Fortaleza;Domingo;2021-01-03;20:00:00
AIS 20;Fortaleza;Domingo;2021-01-03;20:00:00
AIS 22;Fortaleza;Domingo;2021-01-03;20:00:00
AIS 05;Fortaleza;Domingo;2021-01-03;20:00:00
AIS 18;Fortaleza;Domingo;2021-01-03;20:00:00
AIS 01;Jaguaruana;Domingo;2021-01-03;20:00:00
AIS Não Identificada (Fortaleza);Fortaleza;Domingo;2021-01-03;19:50:00
AIS 08;Fortaleza;Domingo;2021-01-03;19:50:00
AIS 08;Fortaleza;Domingo;2021-01-03;19:30:26
AIS 18;Fortaleza;Domingo;2021-01-03;19:30:00
AIS 08;Fortaleza;Domingo;2021-01-03;19:30:00
AIS 16;Fortaleza;Domingo;2021-01-03;19:30:00
AIS 05;Fortaleza;Domingo;2021-01-03;19:20:00
AIS 20;Fortaleza;Domingo;2021-01-03;19:00:00
AIS 21;Fortaleza;Domingo;2021-01-03;19:00:00
AIS 16;Fortaleza;Domingo;2021-01-03;19:00:00
AIS 18;Fortaleza;Domingo;2021-01-03;19:00:00
AIS 19;Fortaleza;Domingo;2021-01-03;19:00:00
AIS 06;Fortaleza;Domingo;2021-01-03;18:35:00
AIS 12;Caucaia;Domingo;2021-01-03;18:30:00
AIS 15;Eusébio;Domingo;2021-01-03;18:30:00
AIS 08;Fortaleza;Domingo;2021-01-03;18:30:00
AIS 27;Viçosa do Ceará;Domingo;2021-01-03;18:30:00
AIS 06;Fortaleza;Domingo;2021-01-03;18:00:00
AIS 06;Fortaleza;Domingo;2021-01-03;18:00:00
AIS 20;Fortaleza;Domingo;2021-01-03;18:00:00
AIS 19;Fortaleza;Domingo;2021-01-03;18:00:00
AIS 20;Fortaleza;Domingo;2021-01-03;18:00:00
AIS 27;Ibiapina;Domingo;2021-01-03;18:00:00
AIS 06;Fortaleza;Domingo;2021-01-03;17:36:00
AIS 08;Fortaleza;Domingo;2021-01-03;17:30:00
AIS 19;Fortaleza;Domingo;2021-01-03;17:30:00
AIS 24;Pacatuba;Domingo;2021-01-03;17:30:00
AIS 25;Itaitinga;Domingo;2021-01-03;17:00:00
AIS 28;Granja;Domingo;2021-01-03;17:00:00
AIS 08;Fortaleza;Domingo;2021-01-03;16:50:00
AIS 08;Fortaleza;Domingo;2021-01-03;16:40:00
AIS 16;Fortaleza;Domingo;2021-01-03;16:15:00
AIS 19;Fortaleza;Domingo;2021-01-03;16:10:00
AIS 19;Fortaleza;Domingo;2021-01-03;16:00:00
AIS 08;Fortaleza;Domingo;2021-01-03;16:00:00
AIS 08;Fortaleza;Domingo;2021-01-03;15:45:00
AIS 18;Fortaleza;Domingo;2021-01-03;15:45:00
AIS 19;Fortaleza;Domingo;2021-01-03;15:40:00
AIS 29;Baturité;Domingo;2021-01-03;15:40:00
AIS 08;Fortaleza;Domingo;2021-01-03;15:30:00
AIS 12;Caucaia;Domingo;2021-01-03;15:00:00
AIS 11;Itapipoca;Domingo;2021-01-03;15:00:00
AIS 03;Sobral;Domingo;2021-01-03;14:00:00
AIS 08;Fortaleza;Domingo;2021-01-03;13:05:00
AIS 19;Fortaleza;Domingo;2021-01-03;13:00:00
AIS 16;Fortaleza;Domingo;2021-01-03;13:00:00
AIS 06;Fortaleza;Domingo;2021-01-03;12:00:00
AIS 18;Fortaleza;Domingo;2021-01-03;11:00:00
AIS 16;Fortaleza;Domingo;2021-01-03;11:00:00
AIS 22;Fortaleza;Domingo;2021-01-03;10:30:00
AIS 22;Fortaleza;Domingo;2021-01-03;10:19:00
AIS 08;Fortaleza;Domingo;2021-01-03;10:00:00
AIS 23;Paracuru;Domingo;2021-01-03;10:00:00
AIS 19;Fortaleza;Domingo;2021-01-03;09:50:00
AIS 06;Fortaleza;Domingo;2021-01-03;09:20:00
AIS 02;Juazeiro do Norte;Domingo;2021-01-03;09:00:00
AIS 08;Fortaleza;Domingo;2021-01-03;08:50:00
AIS 05;Fortaleza;Domingo;2021-01-03;08:26:00
AIS 08;Fortaleza;Domingo;2021-01-03;08:04:00
AIS 05;Fortaleza;Domingo;2021-01-03;08:00:00
AIS 08;Fortaleza;Domingo;2021-01-03;08:00:00
AIS 05;Fortaleza;Domingo;2021-01-03;07:19:02
AIS 17;Fortaleza;Domingo;2021-01-03;07:05:00
AIS 19;Fortaleza;Domingo;2021-01-03;07:00:00
AIS 16;Fortaleza;Domingo;2021-01-03;07:00:00
AIS Não Identificada (Fortaleza);Fortaleza;Domingo;2021-01-03;06:55:00
AIS 21;Fortaleza;Domingo;2021-01-03;06:30:00
AIS 27;Ibiapina;Domingo;2021-01-03;06:30:00
AIS 25;Pacajus;Domingo;2021-01-03;06:00:00
AIS 14;Maracanaú;Domingo;2021-01-03;05:50:00
AIS 08;Fortaleza;Domingo;2021-01-03;05:25:00
AIS 25;Pacajus;Domingo;2021-01-03;04:50:00
AIS 17;Fortaleza;Domingo;2021-01-03;04:30:00
AIS 05;Fortaleza;Domingo;2021-01-03;04:00:00
AIS 02;Crato;Domingo;2021-01-03;03:50:00
AIS 15;Aquiraz;Domingo;2021-01-03;03:30:00
AIS 21;Fortaleza;Domingo;2021-01-03;03:00:00
AIS 09;Quixadá;Domingo;2021-01-03;02:30:00
AIS 21;Fortaleza;Domingo;2021-01-03;02:00:00
AIS 22;Fortaleza;Domingo;2021-01-03;01:00:00
AIS 08;Fortaleza;Domingo;2021-01-03;01:00:00
AIS 02;Crato;Domingo;2021-01-03;01:00:00
AIS 17;Fortaleza;Domingo;2021-01-03;00:30:00
AIS 21;Fortaleza;Domingo;2021-01-03;00:30:00
AIS 06;Fortaleza;Domingo;2021-01-03;00:00:00
AIS 14;Maracanaú;Segunda;2021-01-04;23:50:00
AIS 16;Fortaleza;Segunda;2021-01-04;23:15:00
AIS 17;Fortaleza;Segunda;2021-01-04;23:00:00
AIS 12;Caucaia;Segunda;2021-01-04;22:30:00
AIS 12;Caucaia;Segunda;2021-01-04;22:30:00
AIS 18;Fortaleza;Segunda;2021-01-04;22:30:00
AIS 18;Fortaleza;Segunda;2021-01-04;22:15:00
AIS 16;Fortaleza;Segunda;2021-01-04;22:10:00
AIS 12;Caucaia;Segunda;2021-01-04;22:00:00
AIS 17;Fortaleza;Segunda;2021-01-04;22:00:00
AIS 08;Fortaleza;Segunda;2021-01-04;22:00:00
AIS 17;Fortaleza;Segunda;2021-01-04;22:00:00
AIS 17;Fortaleza;Segunda;2021-01-04;21:30:00
AIS 16;Fortaleza;Segunda;2021-01-04;21:10:00
AIS 27;Tianguá;Segunda;2021-01-04;21:00:00
AIS 06;Fortaleza;Segunda;2021-01-04;20:55:00
AIS 18;Fortaleza;Segunda;2021-01-04;20:50:00
AIS 16;Fortaleza;Segunda;2021-01-04;20:50:00
AIS 22;Fortaleza;Segunda;2021-01-04;20:40:00
AIS 05;Fortaleza;Segunda;2021-01-04;20:35:00
AIS 12;Caucaia;Segunda;2021-01-04;20:30:00
AIS 22;Fortaleza;Segunda;2021-01-04;20:30:00
AIS 19;Fortaleza;Segunda;2021-01-04;20:30:00
AIS 08;Fortaleza;Segunda;2021-01-04;20:30:00
AIS Não Identificada (Fortaleza);Fortaleza;Segunda;2021-01-04;20:30:00
AIS 17;Fortaleza;Segunda;2021-01-04;20:30:00
AIS 22;Fortaleza;Segunda;2021-01-04;20:30:00
AIS 17;Fortaleza;Segunda;2021-01-04;20:30:00
AIS 21;Fortaleza;Segunda;2021-01-04;20:30:00
AIS 06;Fortaleza;Segunda;2021-01-04;20:30:00
AIS 21;Fortaleza;Segunda;2021-01-04;20:30:00
AIS 21;Fortaleza;Segunda;2021-01-04;20:30:00
AIS 27;Ibiapina;Segunda;2021-01-04;20:30:00
AIS 11;Itapajé;Segunda;2021-01-04;20:30:00
AIS 11;Itapajé;Segunda;2021-01-04;20:20:00
AIS 14;Maracanaú;Segunda;2021-01-04;20:15:00
AIS 19;Fortaleza;Segunda;2021-01-04;20:10:00
AIS 22;Fortaleza;Segunda;2021-01-04;20:00:00
AIS 05;Fortaleza;Segunda;2021-01-04;20:00:00
AIS 13;Tauá;Segunda;2021-01-04;20:00:00
AIS 20;Fortaleza;Segunda;2021-01-04;19:48:00
AIS 06;Fortaleza;Segunda;2021-01-04;19:30:00
AIS 08;Fortaleza;Segunda;2021-01-04;19:30:00
AIS 18;Fortaleza;Segunda;2021-01-04;19:30:00
AIS 21;Fortaleza;Segunda;2021-01-04;19:30:00
AIS 06;Fortaleza;Segunda;2021-01-04;19:22:00
AIS 06;Fortaleza;Segunda;2021-01-04;19:20:00
AIS 06;Fortaleza;Segunda;2021-01-04;19:15:00
AIS 06;Fortaleza;Segunda;2021-01-04;19:10:00
AIS 15;Eusébio;Segunda;2021-01-04;19:04:00
AIS 20;Fortaleza;Segunda;2021-01-04;19:00:00
AIS 17;Fortaleza;Segunda;2021-01-04;19:00:00
AIS 14;Maracanaú;Segunda;2021-01-04;19:00:00
AIS 02;Juazeiro do Norte;Segunda;2021-01-04;19:00:00
AIS 02;Juazeiro do Norte;Segunda;2021-01-04;19:00:00
AIS 17;Fortaleza;Segunda;2021-01-04;18:50:32
AIS 16;Fortaleza;Segunda;2021-01-04;18:40:00
AIS 18;Fortaleza;Segunda;2021-01-04;18:40:00
AIS 21;Fortaleza;Segunda;2021-01-04;18:40:00
AIS 06;Fortaleza;Segunda;2021-01-04;18:40:00
AIS 14;Maracanaú;Segunda;2021-01-04;18:40:00
AIS 24;Pacatuba;Segunda;2021-01-04;18:40:00
AIS 01;Russas;Segunda;2021-01-04;18:40:00
AIS 06;Fortaleza;Segunda;2021-01-04;18:30:00
AIS 16;Fortaleza;Segunda;2021-01-04;18:30:00
AIS 16;Fortaleza;Segunda;2021-01-04;18:30:00
AIS 19;Fortaleza;Segunda;2021-01-04;18:30:00
AIS 22;Fortaleza;Segunda;2021-01-04;18:25:00
AIS 17;Fortaleza;Segunda;2021-01-04;18:20:00
AIS 24;Pacatuba;Segunda;2021-01-04;18:15:00
AIS 24;Pacatuba;Segunda;2021-01-04;18:15:00
AIS 15;Cascavel;Segunda;2021-01-04;18:00:00
AIS 15;Cascavel;Segunda;2021-01-04;18:00:00
AIS 18;Fortaleza;Segunda;2021-01-04;18:00:00
AIS 22;Fortaleza;Segunda;2021-01-04;18:00:00
AIS 18;Fortaleza;Segunda;2021-01-04;17:45:00
AIS 14;Maracanaú;Segunda;2021-01-04;17:40:00
AIS 05;Fortaleza;Segunda;2021-01-04;17:30:00
AIS Não Identificada (Fortaleza);Fortaleza;Segunda;2021-01-04;17:30:00
AIS 20;Fortaleza;Segunda;2021-01-04;17:30:00
AIS 25;Horizonte;Segunda;2021-01-04;17:30:00
AIS 25;Pacajus;Segunda;2021-01-04;17:30:00
AIS 21;Fortaleza;Segunda;2021-01-04;17:00:00
AIS 05;Fortaleza;Segunda;2021-01-04;16:45:00
AIS 18;Fortaleza;Segunda;2021-01-04;16:30:00
AIS 10;Iguatu;Segunda;2021-01-04;16:30:00
AIS 10;Iguatu;Segunda;2021-01-04;16:30:00
AIS 11;Itapajé;Segunda;2021-01-04;16:10:00
AIS 26;Caucaia;Segunda;2021-01-04;16:00:25
AIS 22;Fortaleza;Segunda;2021-01-04;16:00:00
AIS 18;Fortaleza;Segunda;2021-01-04;16:00:00
AIS 17;Fortaleza;Segunda;2021-01-04;15:15:00
AIS 18;Fortaleza;Segunda;2021-01-04;15:00:00
AIS 17;Fortaleza;Segunda;2021-01-04;15:00:00
AIS 18;Fortaleza;Segunda;2021-01-04;15:00:00
AIS 11;Itapajé;Segunda;2021-01-04;14:50:00
AIS 19;Fortaleza;Segunda;2021-01-04;14:40:00
AIS 17;Fortaleza;Segunda;2021-01-04;14:40:00
AIS 06;Fortaleza;Segunda;2021-01-04;14:40:00
AIS 29;Ocara;Segunda;2021-01-04;14:30:00
AIS Não Identificada (Fortaleza);Fortaleza;Segunda;2021-01-04;14:00:00
AIS 20;Fortaleza;Segunda;2021-01-04;14:00:00
AIS 05;Fortaleza;Segunda;2021-01-04;14:00:00
AIS 16;Fortaleza;Segunda;2021-01-04;14:00:00
AIS 02;Juazeiro do Norte;Segunda;2021-01-04;14:00:00
AIS 03;Sobral;Segunda;2021-01-04;14:00:00
AIS 19;Fortaleza;Segunda;2021-01-04;13:50:00
AIS 18;Fortaleza;Segunda;2021-01-04;13:42:00
AIS 25;Horizonte;Segunda;2021-01-04;13:30:00
AIS 02;Juazeiro do Norte;Segunda;2021-01-04;13:30:00
AIS 22;Fortaleza;Segunda;2021-01-04;13:20:00
AIS 26;Caucaia;Segunda;2021-01-04;13:15:28
AIS 18;Fortaleza;Segunda;2021-01-04;13:15:00
AIS 18;Fortaleza;Segunda;2021-01-04;13:05:00
AIS 21;Fortaleza;Segunda;2021-01-04;13:00:00
AIS 18;Fortaleza;Segunda;2021-01-04;13:00:00
AIS 10;Iguatu;Segunda;2021-01-04;13:00:00
AIS 14;Maracanaú;Segunda;2021-01-04;12:53:00
AIS 19;Fortaleza;Segunda;2021-01-04;12:45:00
AIS 05;Fortaleza;Segunda;2021-01-04;12:40:00
AIS 05;Fortaleza;Segunda;2021-01-04;12:40:00
AIS 29;Mulungu;Segunda;2021-01-04;12:30:00
AIS 18;Fortaleza;Segunda;2021-01-04;12:25:00
AIS 06;Fortaleza;Segunda;2021-01-04;12:20:00
AIS 08;Fortaleza;Segunda;2021-01-04;12:15:00
AIS 18;Fortaleza;Segunda;2021-01-04;12:00:00
AIS 19;Fortaleza;Segunda;2021-01-04;12:00:00
AIS 05;Fortaleza;Segunda;2021-01-04;11:30:00
AIS 20;Fortaleza;Segunda;2021-01-04;11:30:00
AIS 02;Juazeiro do Norte;Segunda;2021-01-04;11:30:00
AIS 18;Fortaleza;Segunda;2021-01-04;11:10:30
AIS 05;Fortaleza;Segunda;2021-01-04;10:50:00
AIS 20;Fortaleza;Segunda;2021-01-04;10:40:00
AIS 18;Fortaleza;Segunda;2021-01-04;10:40:00
AIS 05;Fortaleza;Segunda;2021-01-04;10:40:00
AIS 17;Fortaleza;Segunda;2021-01-04;10:30:00
AIS 17;Fortaleza;Segunda;2021-01-04;10:30:00
AIS 18;Fortaleza;Segunda;2021-01-04;10:30:00
AIS 05;Fortaleza;Segunda;2021-01-04;10:30:00
AIS 17;Fortaleza;Segunda;2021-01-04;10:00:00
AIS 17;Fortaleza;Segunda;2021-01-04;10:00:00
AIS 06;Fortaleza;Segunda;2021-01-04;10:00:00
AIS 26;Caucaia;Segunda;2021-01-04;09:30:00
AIS 05;Fortaleza;Segunda;2021-01-04;09:25:00
AIS 12;Caucaia;Segunda;2021-01-04;09:00:00
AIS 26;Caucaia;Segunda;2021-01-04;09:00:00
AIS 18;Fortaleza;Segunda;2021-01-04;09:00:00
AIS 18;Fortaleza;Segunda;2021-01-04;09:00:00
AIS 14;Maracanaú;Segunda;2021-01-04;09:00:00
AIS 21;Fortaleza;Segunda;2021-01-04;08:40:00
AIS 26;Caucaia;Segunda;2021-01-04;08:30:00
AIS 29;Redenção;Segunda;2021-01-04;08:30:00
AIS 17;Fortaleza;Segunda;2021-01-04;08:20:00
AIS 24;Maranguape;Segunda;2021-01-04;08:15:00
AIS 06;Fortaleza;Segunda;2021-01-04;08:00:00
AIS 20;Fortaleza;Segunda;2021-01-04;08:00:00
AIS 20;Fortaleza;Segunda;2021-01-04;07:40:00
AIS 21;Fortaleza;Segunda;2021-01-04;07:40:00
AIS 06;Fortaleza;Segunda;2021-01-04;07:35:00
AIS 21;Fortaleza;Segunda;2021-01-04;07:31:00
AIS 21;Fortaleza;Segunda;2021-01-04;07:31:00
