Município;AIS;Meio Empregado;Data;Hora;Dia da Semana;Gênero;Idade;Escolaridade;Raça
Pacajus;AIS 25;Arma de fogo;2023-06-17;20:30:00;Sábado;Masculino;24;Ensino Fundamental Incompleto;Não Informada
Aquiraz;AIS 15;Arma de fogo;2023-06-28;15:00:00;Quarta;Masculino;22;Não Informada;Não Informada
Crato;AIS 02;Arma de fogo;2023-06-28;16:59:59;Quarta;Masculino;23;Alfabetizado;Não Informada
Fortaleza;AIS 18;Arma de fogo;2023-07-01;18:00:00;Sábado;Masculino;22;Ensino Fundamental Incompleto;Parda
Fortaleza;AIS 22;Arma de fogo;2023-07-02;14:30:00;Domingo;Masculino;16;Não Informada;Não Informada
Fortaleza;AIS 06;Arma de fogo;2023-07-08;15:40:00;Sábado;Masculino;26;Ensino Fundamental Completo;Parda
Fortaleza;AIS 05;Arma de fogo;2023-07-11;19:40:00;Terça;Masculino;16;Alfabetizado;Não Informada
Tabuleiro do Norte;AIS 01;Arma de fogo;2023-07-17;15:10:00;Segunda;Masculino;27;Ensino Fundamental Incompleto;Não Informada
Juazeiro do Norte;AIS 02;Arma de fogo;2023-07-20;17:00:00;Quinta;Masculino;24;Ensino Fundamental Completo;Não Informada
Juazeiro do Norte;AIS 02;Arma de fogo;2023-07-20;17:00:00;Quinta;Masculino;20;Alfabetizado;Não Informada
Juazeiro do Norte;AIS 02;Arma de fogo;2023-07-20;17:00:00;Quinta;Masculino;36;Não Alfabetizado;Não Informada
Fortaleza;AIS 05;Arma de fogo;2023-07-28;19:00:00;Sexta;Masculino;28;Ensino Fundamental Incompleto;Não Informada
Itarema;AIS 11;Arma de fogo;2023-07-28;21:30:00;Sexta;Masculino;20;Ensino Médio Completo;Não Informada
Amontada;AIS 11;Arma de fogo;2023-07-29;05:10:00;Sábado;Masculino;Não Informada;Ensino Fundamental Incompleto;Parda
Caucaia;AIS 12;Arma de fogo;2023-07-30;14:43:00;Domingo;Masculino;23;Ensino Fundamental Incompleto;Não Informada
Caucaia;AIS 26;Arma de fogo;2023-08-07;23:30:00;Segunda;Masculino;34;Alfabetizado;Não Informada
Fortaleza;AIS 05;Arma de fogo;2023-08-09;16:00:00;Quarta;Masculino;22;Alfabetizado;Parda
Paramoti;AIS 04;Arma de fogo;2023-08-10;12:00:00;Quinta;Masculino;17;Alfabetizado;Parda
Paramoti;AIS 04;Arma de fogo;2023-08-10;12:00:00;Quinta;Masculino;22;Alfabetizado;Não Informada
Marco;AIS 11;Arma de fogo;2023-08-12;12:00:00;Sábado;Masculino;23;Ensino Médio Incompleto;Parda
Fortaleza;AIS 06;Arma de fogo;2023-08-15;15:04:59;Terça;Masculino;24;Ensino Médio Incompleto;Não Informada
Morrinhos;AIS 11;Arma de fogo;2023-08-18;14:35:00;Sexta;Masculino;20;Alfabetizado;Preta
Juazeiro do Norte;AIS 02;Arma de fogo;2023-08-22;21:00:00;Terça;Masculino;26;Ensino Médio Completo;Parda
Juazeiro do Norte;AIS 02;Arma de fogo;2023-08-22;21:00:00;Terça;Masculino;26;Ensino Fundamental Completo;Parda
Santana do Acaraú;AIS 03;Arma de fogo;2023-08-23;10:00:00;Quarta;Masculino;20;Ensino Médio Incompleto;Branca
Santana do Acaraú;AIS 03;Arma de fogo;2023-08-23;10:00:00;Quarta;Masculino;20;Alfabetizado;Não Informada
Ibaretama;AIS 09;Arma de fogo;2023-08-25;07:59:59;Sexta;Masculino;37;Ensino Fundamental Incompleto;Não Informada
Ibaretama;AIS 09;Arma de fogo;2023-08-25;07:59:59;Sexta;Masculino;29;Não Informada;Não Informada
Icapuí;AIS 30;Arma de fogo;2023-08-27;18:40:00;Domingo;Masculino;30;Ensino Médio Incompleto;Parda
Brejo Santo;AIS 32;Arma de fogo;2023-08-29;11:50:00;Terça;Masculino;38;Alfabetizado;Parda
Brejo Santo;AIS 32;Arma de fogo;2023-08-29;11:50:00;Terça;Masculino;28;Alfabetizado;Parda
Aracati;AIS 30;Arma de fogo;2023-08-31;09:20:00;Quinta;Masculino;28;Alfabetizado;Não Informada
Fortaleza;AIS 08;Arma de fogo;2023-09-05;00:29:59;Terça;Masculino;22;Ensino Fundamental Incompleto;Não Informada
Icapuí;AIS 30;Arma de fogo;2023-09-13;10:59:59;Quarta;Masculino;19;Ensino Fundamental Incompleto;Parda
Pedra Branca;AIS 09;Arma de fogo;2023-09-13;18:00:00;Quarta;Masculino;38;Alfabetizado;Não Informada
Fortaleza;AIS 19;Arma de fogo;2023-09-19;15:29:59;Terça;Masculino;26;Ensino Fundamental Incompleto;Não Informada
Jaguaribara;AIS 31;Arma de fogo;2023-09-19;19:00:00;Terça;Masculino;50;Não Informada;Não Informada
Senador Pompeu;AIS 09;Arma de fogo;2023-09-22;23:30:00;Sexta;Masculino;36;Não Informada;Não Informada
Beberibe;AIS 30;Arma de fogo;2023-09-23;16:59:59;Sábado;Masculino;28;Alfabetizado;Parda
Beberibe;AIS 30;Arma de fogo;2023-09-23;16:59:59;Sábado;Masculino;31;Não Alfabetizado;Não Informada
Pacajus;AIS 25;Arma de fogo;2023-10-02;15:29:59;Segunda;Masculino;18;Alfabetizado;Não Informada
Fortaleza;AIS 06;Arma de fogo;2023-10-07;09:00:00;Sábado;Masculino;20;Alfabetizado;Branca
Acaraú;AIS 11;Arma de fogo;2023-10-11;05:40:00;Quarta;Masculino;25;Alfabetizado;Parda
Fortaleza;AIS 18;Arma de fogo;2023-10-12;04:39:59;Quinta;Masculino;17;Ensino Médio Incompleto;Não Informada
Caucaia;AIS 26;Arma de fogo;2023-10-20;12:29:59;Sexta;Masculino;26;Alfabetizado;Parda
Pereiro;AIS 31;Arma de fogo;2023-10-22;16:59:59;Domingo;Masculino;28;Alfabetizado;Parda
Pereiro;AIS 31;Arma de fogo;2023-10-22;16:59:59;Domingo;Masculino;22;Alfabetizado;Não Informada
Boa Viagem;AIS 04;Arma de fogo;2023-10-24;17:30:00;Terça;Masculino;32;Alfabetizado;Branca
Boa Viagem;AIS 04;Arma de fogo;2023-10-24;17:30:00;Terça;Masculino;23;Ensino Fundamental Incompleto;Não Informada
Amontada;AIS 11;Arma de fogo;2023-10-30;13:59:59;Segunda;Masculino;23;Ensino Fundamental Incompleto;Parda
Jaguaretama;AIS 09;Arma de fogo;2023-10-31;13:30:00;Terça;Masculino;22;Ensino Fundamental Incompleto;Parda
Jaguaretama;AIS 09;Arma de fogo;2023-10-31;13:30:00;Terça;Masculino;36;Alfabetizado;Parda
Cascavel;AIS 15;Arma de fogo;2023-11-01;22:00:00;Quarta;Masculino;20;Ensino Médio Completo;Parda
Crateús;AIS 07;Arma de fogo;2023-11-07;19:09:59;Terça;Masculino;28;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 06;Arma de fogo;2023-11-11;06:09:59;Sábado;Masculino;26;Ensino Fundamental Completo;Não Informada
Boa Viagem;AIS 04;Arma de fogo;2023-11-12;22:30:00;Domingo;Masculino;33;Alfabetizado;Parda
Paramoti;AIS 04;Arma de fogo;2023-11-19;01:59:59;Domingo;Masculino;26;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 20;Arma de fogo;2023-11-19;19:59:59;Domingo;Masculino;16;Alfabetizado;Não Informada
Fortaleza;AIS 19;Arma de fogo;2023-11-21;05:44:59;Terça;Masculino;26;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 19;Arma de fogo;2023-11-21;05:44:59;Terça;Masculino;36;Ensino Médio Completo;Não Informada
São Gonçalo do Amarante;AIS 23;Arma de fogo;2023-11-27;18:49:59;Segunda;Masculino;15;Ensino Fundamental Incompleto;Parda
Itapajé;AIS 11;Arma de fogo;2023-12-02;23:00:00;Sábado;Masculino;15;Alfabetizado;Branca
Iguatu;AIS 10;Arma de fogo;2023-12-08;06:24:59;Sexta;Masculino;39;Ensino Fundamental Incompleto;Parda
Maranguape;AIS 24;Arma de fogo;2023-12-09;19:00:00;Sábado;Masculino;74;Não Alfabetizado;Não Informada
Forquilha;AIS 03;Arma de fogo;2023-12-10;04:40:00;Domingo;Masculino;Não Informada;Não Informada;Não Informada
São Gonçalo do Amarante;AIS 23;Arma de fogo;2023-12-12;13:34:00;Terça;Masculino;21;Ensino Médio Completo;Não Informada
Reriutaba;AIS 07;Arma de fogo;2023-12-14;16:30:00;Quinta;Masculino;22;Alfabetizado;Parda
Reriutaba;AIS 07;Arma de fogo;2023-12-14;16:30:00;Quinta;Masculino;16;Ensino Médio Incompleto;Parda
Reriutaba;AIS 07;Arma de fogo;2023-12-14;16:30:00;Quinta;Masculino;15;Ensino Fundamental Completo;Parda
Morada Nova;AIS 09;Arma de fogo;2023-12-15;10:00:00;Sexta;Masculino;25;Não Informada;Não Informada
Morada Nova;AIS 09;Arma de fogo;2023-12-15;10:00:00;Sexta;Masculino;38;Não Informada;Não Informada
Morada Nova;AIS 09;Arma de fogo;2023-12-15;10:00:00;Sexta;Masculino;17;Não Informada;Não Informada
Granja;AIS 28;Arma de fogo;2023-12-18;00:09:59;Segunda;Masculino;19;Alfabetizado;Parda
Varjota;AIS 07;Arma de fogo;2023-12-21;15:29:59;Quinta;Masculino;20;Não Informada;Não Informada
Pacajus;AIS 25;Arma de fogo;2023-12-23;16:00:00;Sábado;Masculino;31;Ensino Fundamental Incompleto;Parda
Pacatuba;AIS 24;Arma de fogo;2023-12-24;23:39:59;Domingo;Masculino;20;Ensino Médio Completo;Não Informada
Fortaleza;AIS 19;Arma de fogo;2023-12-28;17:30:00;Quinta;Masculino;26;Ensino Fundamental Incompleto;Preta
