Município;AIS;Meio Empregado;Data;Hora;Dia da Semana;Gênero;Idade;Escolaridade;Raça
Fortaleza;AIS 06;Arma de fogo;2023-01-04;22:00:00;Quarta;Masculino;20;Ensino Médio Completo;Não Informada
Horizonte;AIS 25;Arma de fogo;2023-01-05;10:30:00;Quinta;Masculino;24;Ensino Fundamental Incompleto;Parda
São Gonçalo do Amarante;AIS 23;Arma de fogo;2023-01-05;15:29:59;Quinta;Masculino;29;Alfabetizado;Parda
Aquiraz;AIS 15;Arma de fogo;2023-01-10;14:30:00;Terça;Masculino;37;Ensino Médio Completo;Não Informada
Choró;AIS 09;Arma de fogo;2023-01-13;15:29:59;Sexta;Masculino;27;Não Informada;Não Informada
Frecheirinha;AIS 03;Arma de fogo;2023-01-21;15:00:00;Sábado;Masculino;34;Alfabetizado;Não Informada
Fortaleza;AIS 17;Arma de fogo;2023-01-24;02:55:00;Terça;Masculino;27;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 18;Arma de fogo;2023-01-31;15:04:59;Terça;Masculino;19;Não Informada;Não Informada
Fortaleza;AIS 16;Arma de fogo;2023-02-03;05:00:00;Sexta;Masculino;26;Ensino Fundamental Completo;Não Informada
Madalena;AIS 04;Arma de fogo;2023-02-09;07:59:59;Quinta;Masculino;29;Não Informada;Não Informada
Fortaleza;AIS 17;Arma de fogo;2023-02-12;00:45:00;Domingo;Masculino;16;Alfabetizado;Não Informada
Fortaleza;AIS 21;Arma de fogo;2023-02-14;19:00:00;Terça;Masculino;21;Ensino Fundamental Incompleto;Parda
Morada Nova;AIS 09;Arma de fogo;2023-02-15;14:00:00;Quarta;Masculino;23;Ensino Fundamental Incompleto;Branca
Varjota;AIS 07;Arma de fogo;2023-02-20;22:00:00;Segunda;Masculino;21;Alfabetizado;Não Informada
Fortaleza;AIS 06;Arma de fogo;2023-02-22;22:00:00;Quarta;Masculino;28;Ensino Médio Incompleto;Não Informada
Tabuleiro do Norte;AIS 01;Arma de fogo;2023-02-23;04:59:59;Quinta;Masculino;27;Ensino Médio Completo;Não Informada
Icapuí;AIS 30;Arma de fogo;2023-02-25;00:09:59;Sábado;Masculino;21;Ensino Fundamental Incompleto;Não Informada
Aquiraz;AIS 15;Arma de fogo;2023-03-04;04:59:59;Sábado;Masculino;20;Ensino Fundamental Incompleto;Parda
Fortaleza;AIS 05;Arma de fogo;2023-03-04;19:20:00;Sábado;Masculino;35;Alfabetizado;Não Informada
Fortaleza;AIS 19;Arma de fogo;2023-03-07;16:30:00;Terça;Masculino;29;Ensino Fundamental Incompleto;Parda
Fortaleza;AIS 06;Arma de fogo;2023-03-10;18:49:59;Sexta;Masculino;20;Ensino Médio Incompleto;Não Informada
Uruburetama;AIS 11;Arma de fogo;2023-03-11;16:59:59;Sábado;Masculino;22;Alfabetizado;Branca
Uruburetama;AIS 11;Arma de fogo;2023-03-11;16:59:59;Sábado;Masculino;18;Alfabetizado;Não Informada
Uruburetama;AIS 11;Arma de fogo;2023-03-11;16:59:59;Sábado;Masculino;17;Alfabetizado;Não Informada
Quixadá;AIS 09;Arma de fogo;2023-03-12;01:00:00;Domingo;Masculino;19;Ensino Médio Completo;Não Informada
Mauriti;AIS 32;Arma de fogo;2023-03-13;09:49:59;Segunda;Masculino;20;Ensino Fundamental Incompleto;Parda
Mauriti;AIS 32;Arma de fogo;2023-03-13;09:49:59;Segunda;Masculino;21;Ensino Fundamental Completo;Não Informada
Amontada;AIS 11;Arma de fogo;2023-03-14;06:00:00;Terça;Masculino;21;Ensino Fundamental Incompleto;Não Informada
Amontada;AIS 11;Arma de fogo;2023-03-14;06:00:00;Terça;Masculino;27;Alfabetizado;Não Informada
Fortaleza;AIS 20;Arma de fogo;2023-03-14;10:00:00;Terça;Masculino;23;Não Informada;Não Informada
Morada Nova;AIS 09;Arma de fogo;2023-03-14;21:30:00;Terça;Masculino;20;Ensino Fundamental Completo;Não Informada
Morada Nova;AIS 09;Arma de fogo;2023-03-15;06:00:00;Quarta;Masculino;22;Ensino Fundamental Incompleto;Não Informada
Morada Nova;AIS 09;Arma de fogo;2023-03-15;06:00:00;Quarta;Masculino;19;Não Informada;Não Informada
Morada Nova;AIS 09;Arma de fogo;2023-03-15;06:00:00;Quarta;Masculino;19;Não Informada;Não Informada
Juazeiro do Norte;AIS 02;Arma de fogo;2023-03-15;11:24:59;Quarta;Masculino;21;Ensino Fundamental Incompleto;Não Informada
Amontada;AIS 11;Arma de fogo;2023-03-21;21:00:00;Terça;Masculino;24;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 21;Arma de fogo;2023-03-22;21:48:00;Quarta;Masculino;20;Ensino Fundamental Incompleto;Não Informada
Orós;AIS 34;Arma de fogo;2023-03-24;19:50:00;Sexta;Masculino;30;Não Informada;Não Informada
Mauriti;AIS 32;Arma de fogo;2023-03-24;21:29:59;Sexta;Masculino;18;Alfabetizado;Preta
Trairi;AIS 23;Arma de fogo;2023-04-03;22:23:00;Segunda;Masculino;21;Alfabetizado;Parda
Sobral;AIS 03;Arma de fogo;2023-04-23;04:00:00;Domingo;Masculino;26;Alfabetizado;Não Informada
Sobral;AIS 03;Arma de fogo;2023-04-23;04:00:00;Domingo;Masculino;17;Alfabetizado;Não Informada
Jijoca de Jericoacoara;AIS 11;Arma de fogo;2023-04-23;21:00:00;Domingo;Masculino;21;Alfabetizado;Parda
Crato;AIS 02;Arma de fogo;2023-04-23;22:59:59;Domingo;Masculino;32;Ensino Fundamental Completo;Não Informada
Senador Sá;AIS 28;Arma de fogo;2023-04-24;23:30:00;Segunda;Masculino;23;Ensino Médio Incompleto;Parda
Senador Sá;AIS 28;Arma de fogo;2023-04-24;23:30:00;Segunda;Masculino;21;Ensino Fundamental Completo;Não Informada
Icapuí;AIS 30;Arma de fogo;2023-04-25;14:34:59;Terça;Masculino;22;Ensino Fundamental Incompleto;Não Informada
São Gonçalo do Amarante;AIS 23;Arma de fogo;2023-04-27;22:59:59;Quinta;Masculino;31;Alfabetizado;Parda
Pacajus;AIS 25;Arma de fogo;2023-04-28;16:59:59;Sexta;Masculino;30;Alfabetizado;Não Informada
Fortaleza;AIS 19;Arma de fogo;2023-04-29;17:39:59;Sábado;Masculino;27;Ensino Fundamental Completo;Parda
Moraújo;AIS 28;Arma de fogo;2023-05-01;06:40:00;Segunda;Masculino;32;Alfabetizado;Não Informada
Tauá;AIS 13;Arma de fogo;2023-05-05;05:30:00;Sexta;Masculino;30;Alfabetizado;Parda
Maracanaú;AIS 14;Arma de fogo;2023-05-07;06:00:00;Domingo;Masculino;20;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 17;Arma de fogo;2023-05-08;03:00:00;Segunda;Masculino;24;Ensino Fundamental Incompleto;Não Informada
Caucaia;AIS 12;Arma de fogo;2023-05-11;00:19:59;Quinta;Masculino;22;Alfabetizado;Não Informada
Farias Brito;AIS 02;Arma de fogo;2023-05-19;06:00:00;Sexta;Masculino;27;Ensino Fundamental Completo;Não Informada
Capistrano;AIS 29;Arma de fogo;2023-05-23;12:29:59;Terça;Masculino;26;Ensino Fundamental Completo;Não Informada
Capistrano;AIS 29;Arma de fogo;2023-05-23;12:29:59;Terça;Masculino;24;Ensino Médio Incompleto;Não Informada
Santa Quitéria;AIS 07;Arma de fogo;2023-05-25;19:00:00;Quinta;Masculino;23;Alfabetizado;Preta
Juazeiro do Norte;AIS 02;Arma de fogo;2023-05-25;19:00:00;Quinta;Masculino;20;Ensino Fundamental Completo;Não Informada
Juazeiro do Norte;AIS 02;Arma de fogo;2023-05-25;19:00:00;Quinta;Masculino;20;Ensino Fundamental Incompleto;Não Informada
Juazeiro do Norte;AIS 02;Arma de fogo;2023-05-27;00:29:59;Sábado;Masculino;24;Ensino Fundamental Incompleto;Não Informada
Icapuí;AIS 30;Arma de fogo;2023-06-05;19:00:00;Segunda;Masculino;25;Alfabetizado;Não Informada
Icapuí;AIS 30;Arma de fogo;2023-06-05;19:00:00;Segunda;Masculino;17;Não Informada;Não Informada
Jaguaretama;AIS 09;Arma de fogo;2023-06-08;19:09:59;Quinta;Masculino;20;Alfabetizado;Não Informada
Tabuleiro do Norte;AIS 01;Arma de fogo;2023-06-10;15:20:00;Sábado;Masculino;18;Ensino Médio Incompleto;Parda
Tauá;AIS 13;Arma de fogo;2023-06-11;05:30:00;Domingo;Masculino;46;Alfabetizado;Não Informada
Cascavel;AIS 15;Arma de fogo;2023-06-13;16:00:00;Terça;Masculino;25;Ensino Fundamental Completo;Parda
Cascavel;AIS 15;Arma de fogo;2023-06-13;16:00:00;Terça;Masculino;15;Ensino Fundamental Completo;Parda
Cascavel;AIS 15;Arma de fogo;2023-06-13;16:00:00;Terça;Masculino;33;Alfabetizado;Não Informada
