Município;AIS;Meio Empregado;Data;Hora;Dia da Semana;Gênero;Idade;Escolaridade;Raça
Caucaia;AIS Não Identificada (Caucaia);Arma de fogo;2021-01-02;21:53:00;Sábado;Masculino;16;Ensino Fundamental Completo;Preta
Caucaia;AIS Não Identificada (Caucaia);Arma de fogo;2021-01-02;21:53:00;Sábado;Masculino;17;Ensino Médio Incompleto;Não Informada
Itapajé;AIS 11;Arma de fogo;2021-01-03;19:30:00;Domingo;Masculino;20;Alfabetizado;Não Informada
Caucaia;AIS 12;Arma de fogo;2021-01-04;10:59:59;Segunda;Masculino;16;Não Alfabetizado;Parda
Caucaia;AIS 12;Arma de fogo;2021-01-04;10:59:59;Segunda;Masculino;35;Não Alfabetizado;Não Informada
Fortaleza;AIS 16;Arma de fogo;2021-01-06;11:40:00;Quarta;Masculino;23;Alfabetizado;Parda
Boa Viagem;AIS 04;Arma de fogo;2021-01-10;03:40:00;Domingo;Masculino;25;Ensino Fundamental Completo;Parda
Aratuba;AIS 29;Arma de fogo;2021-01-15;01:30:00;Sexta;Masculino;16;Alfabetizado;Parda
Caucaia;AIS 12;Arma de fogo;2021-01-15;15:29:59;Sexta;Masculino;25;Não Informada;Não Informada
Fortaleza;AIS 22;Arma de fogo;2021-01-18;18:29:00;Segunda;Masculino;21;Alfabetizado;Não Informada
Fortaleza;AIS 18;Arma de fogo;2021-01-21;22:28:00;Quinta;Masculino;28;Ensino Fundamental Completo;Não Informada
Maracanaú;AIS 14;Arma de fogo;2021-01-23;11:10:00;Sábado;Masculino;28;Ensino Fundamental Incompleto;Não Informada
Russas;AIS 01;Arma de fogo;2021-01-23;21:00:00;Sábado;Masculino;20;Alfabetizado;Não Informada
Beberibe;AIS 30;Arma de fogo;2021-01-23;22:20:00;Sábado;Masculino;27;Alfabetizado;Não Informada
Horizonte;AIS 25;Arma de fogo;2021-01-26;00:15:00;Terça;Masculino;25;Ensino Fundamental Completo;Não Informada
